,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
64,"Eswatini, Kingdom of",SWZ,0.237,0.413,-0.228,-0.014,-0.265,0.248,-0.3,-0.461,0.293,0.446,-0.019,-0.408,0.1,-0.245,-0.371,-0.46,0.286,0.187,0.225,-0.139,-0.437,0.09,0.832,-0.119,0.432,0.183,0.433,0.485,0.014,0.181,0.434,1.067,0.675,-0.057,0.536,-0.12,0.168,0.879,0.377,-0.231,0.389,0.608,0.79,0.68,0.97,0.089,0.825,0.307,0.082,0.919,0.903,0.311,0.173,0.341,0.899,0.91,0.698,1.113,1.59,0.563,0.4,1.077,1.137,1.197,1.2570000000000001,1.3170000000000002,1.3770000000000002,1.4370000000000003,1.4970000000000003,1.5570000000000004,1.6170000000000004,1.6770000000000005,1.7370000000000005,1.7970000000000006,1.8570000000000007,1.9170000000000007,1.9770000000000008,2.037000000000001,2.097000000000001,2.157000000000001
65,"Ethiopia, The Federal Dem. Rep. of",ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.403,0.617,0.583,0.515,0.701,0.249,0.51,0.75,1.09,1.106,0.844,1.127,1.019,0.918,0.858,1.371,1.271,1.18,1.063,1.236,1.164,1.463,1.524,1.338,0.729,1.064,1.045,1.21,1.167,1.227,1.2870000000000001,1.3470000000000002,1.4070000000000003,1.4670000000000003,1.5270000000000004,1.5870000000000004,1.6470000000000005,1.7070000000000005,1.7670000000000006,1.8270000000000006,1.8870000000000007,1.9470000000000007,2.0070000000000006,2.0670000000000006,2.1270000000000007,2.1870000000000007,2.2470000000000008
66,Falkland Islands (Malvinas),FLK,-0.351,0.401,-0.286,-0.082,0.178,-0.606,0.011,0.286,-0.348,0.203,-0.223,-0.505,0.219,0.211,0.128,-0.223,-0.089,0.228,0.644,0.186,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Faroe Islands,FRO,0.635,-0.475,-0.052,0.482,-0.35,-0.39,-0.117,-0.248,-0.342,-0.508,0.246,0.673,-0.049,0.501,-0.024,0.508,-0.314,-0.122,-0.898,0.003,-0.412,0.163,-0.341,0.406,-0.212,-0.233,0.104,0.166,0.389,0.639,0.939,0.632,0.076,-0.032,-0.177,0.323,0.867,0.65,0.552,0.258,0.517,1.089,1.657,1.073,0.529,1.176,0.992,0.928,1.482,0.297,1.094,0.402,0.636,1.807,0.855,0.845,1.53,0.871,0.912,0.877,1.03,1.289,1.349,1.409,1.469,1.5290000000000001,1.5890000000000002,1.6490000000000002,1.7090000000000003,1.7690000000000003,1.8290000000000004,1.8890000000000005,1.9490000000000005,2.0090000000000003,2.0690000000000004,2.1290000000000004,2.1890000000000005,2.2490000000000006,2.3090000000000006,2.3690000000000007
68,"Fiji, Rep. of",FJI,0.266,-0.04,-0.002,0.23,-0.593,-0.238,-0.248,-0.072,-0.096,0.081,0.087,-0.262,0.402,0.151,0.133,-0.076,-0.127,-0.032,0.088,0.123,0.09,0.043,-0.03,0.214,0.151,-0.316,-0.018,0.605,-0.024,0.06,-0.134,-0.117,-0.475,-0.304,0.215,0.269,0.008,0.633,0.404,0.547,0.561,0.549,0.441,0.359,0.5,0.466,0.832,0.367,0.119,0.7,0.688,0.401,0.761,0.612,0.569,1.006,1.067,0.653,0.846,1.03,0.857,1.078,1.1380000000000001,1.1980000000000002,1.2580000000000002,1.3180000000000003,1.3780000000000003,1.4380000000000004,1.4980000000000004,1.5580000000000005,1.6180000000000005,1.6780000000000006,1.7380000000000007,1.7980000000000007,1.8580000000000008,1.9180000000000008,1.9780000000000009,2.0380000000000007,2.0980000000000008,2.158000000000001
69,Finland,FIN,1.894,-0.33,-0.396,0.342,-0.262,-1.8,1.091,-1.631,-0.476,-0.626,-0.446,0.938,1.143,1.122,1.893,-0.876,-0.228,-0.524,-0.752,-0.379,-0.237,-0.153,0.968,0.764,-1.167,-0.175,-1.649,0.586,2.184,1.257,1.142,1.171,0.947,0.153,1.705,0.142,0.788,0.078,1.167,2.031,1.377,1.179,0.717,1.239,2.209,1.21,1.952,2.135,1.699,0.243,1.352,1.539,1.426,2.591,2.614,2.153,1.488,2.16,1.454,3.321,1.942,2.062,2.122,2.182,2.242,2.302,2.362,2.422,2.482,2.5420000000000003,2.6020000000000003,2.6620000000000004,2.7220000000000004,2.7820000000000005,2.8420000000000005,2.9020000000000006,2.9620000000000006,3.0220000000000007,3.0820000000000007,3.142000000000001
70,France,FRA,0.835,-0.297,-0.946,0.033,-0.618,0.427,0.501,-0.073,0.02,-0.097,-0.164,-0.326,0.049,-0.087,0.473,0.356,0.004,-0.226,-0.195,-0.228,0.078,0.794,0.704,-0.099,-0.351,-0.017,-0.011,0.759,1.262,1.571,0.236,0.64,0.31,1.532,1.315,0.179,1.229,0.938,1.197,1.173,1.393,1.055,1.8,0.974,1.021,1.312,1.407,0.991,1.207,0.391,1.526,1.212,0.705,2.036,1.586,1.764,1.764,2.007,1.968,2.494,1.284,2.877,2.937,2.997,3.057,3.117,3.177,3.237,3.297,3.357,3.4170000000000003,3.4770000000000003,3.5370000000000004,3.5970000000000004,3.6570000000000005,3.7170000000000005,3.7770000000000006,3.8370000000000006,3.8970000000000007,3.9570000000000007
71,French Polynesia,PYF,0.209,-0.05,0.028,-0.157,-0.069,0.091,-0.257,-0.515,0.335,0.203,-0.324,0.131,0.323,-0.349,-0.255,-0.256,0.23,-0.095,0.093,0.208,0.116,0.308,0.172,0.382,0.123,0.244,0.458,0.396,0.215,0.387,0.409,0.447,0.256,0.64,0.637,0.21,0.365,0.684,0.5,0.372,0.531,0.829,0.741,0.567,0.706,0.877,0.884,0.383,0.843,0.83,0.3,0.804,0.624,0.67,0.731,1.174,0.927,0.655,0.881,0.845,0.782,0.35,0.41,0.47,0.53,0.5900000000000001,0.6500000000000001,0.7100000000000002,0.7700000000000002,0.8300000000000003,0.8900000000000003,0.9500000000000004,1.0100000000000005,1.0700000000000005,1.1300000000000006,1.1900000000000006,1.2500000000000007,1.3100000000000007,1.3700000000000008,1.4300000000000008
72,Gabon,GAB,-0.135,-0.029,0.266,-0.126,-0.141,0.158,-0.108,-0.117,0.129,0.162,-0.06,-0.077,0.46,-0.087,-0.141,-0.344,0.171,0.054,0.372,0.276,-0.205,-0.39,0.129,0.163,-0.239,-0.134,0.258,0.242,-0.084,0.144,0.106,-0.207,0.138,0.198,0.6,0.116,0.384,1.116,0.563,0.299,0.25,0.621,0.84,0.818,0.718,0.786,0.912,0.789,0.802,1.078,0.649,0.631,0.788,0.88,0.996,1.478,1.307,1.099,1.43,1.269,0.942,0.853,0.913,0.9730000000000001,1.0330000000000001,1.0930000000000002,1.1530000000000002,1.2130000000000003,1.2730000000000004,1.3330000000000004,1.3930000000000005,1.4530000000000005,1.5130000000000006,1.5730000000000006,1.6330000000000007,1.6930000000000007,1.7530000000000008,1.8130000000000008,1.8730000000000009,1.933000000000001
73,"Gambia, The",GMB,-0.139,-0.044,0.148,-0.164,-0.428,-0.05,-0.347,-0.526,0.824,0.399,-0.048,0.319,0.692,-0.201,-0.154,-0.065,0.484,0.342,0.533,0.744,0.57,0.296,1.099,0.564,0.3,0.579,0.99,0.769,0.536,1.071,0.73,0.772,0.948,0.742,0.821,1.144,1.36,1.601,0.807,0.995,1.338,1.453,1.159,1.278,1.599,1.297,1.189,1.45,0.776,1.424,1.145,0.982,1.084,1.268,1.292,1.739,1.875,1.169,1.489,1.916,1.825,1.475,1.5350000000000001,1.5950000000000002,1.6550000000000002,1.7150000000000003,1.7750000000000004,1.8350000000000004,1.8950000000000005,1.9550000000000005,2.0150000000000006,2.0750000000000006,2.1350000000000007,2.1950000000000007,2.255000000000001,2.315000000000001,2.375000000000001,2.435000000000001,2.495000000000001,2.555000000000001
74,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.184,-1.238,0.418,0.717,0.158,0.309,1.248,1.223,0.956,1.281,1.048,-0.261,0.863,0.544,1.234,0.888,0.664,0.661,2.463,0.424,1.25,1.363,1.257,1.762,1.359,0.826,2.514,1.775,2.031,1.757,1.632,1.692,1.752,1.812,1.872,1.9320000000000002,1.9920000000000002,2.052,2.112,2.172,2.232,2.2920000000000003,2.3520000000000003,2.4120000000000004,2.4720000000000004,2.5320000000000005,2.5920000000000005,2.6520000000000006,2.7120000000000006
75,Germany,DEU,0.988,-0.751,-1.085,-0.329,-0.813,0.408,0.872,0.207,-0.109,-0.832,0.033,-0.016,0.188,0.317,1.1,0.471,0.284,-0.173,-0.639,-0.185,0.297,0.442,1.073,-0.108,-0.797,-0.004,-0.559,0.895,1.493,1.573,0.288,1.23,0.314,1.627,1.309,-0.697,0.561,1.155,1.368,1.765,1.293,1.492,1.261,1.004,1.031,1.263,2.098,1.55,1.287,0.2,1.126,1.354,0.588,2.518,1.67,1.982,1.645,2.385,2.322,2.506,1.315,2.587,2.6470000000000002,2.7070000000000003,2.7670000000000003,2.8270000000000004,2.8870000000000005,2.9470000000000005,3.0070000000000006,3.0670000000000006,3.1270000000000007,3.1870000000000007,3.2470000000000008,3.307000000000001,3.367000000000001,3.427000000000001,3.487000000000001,3.547000000000001,3.607000000000001,3.667000000000001
76,Ghana,GHA,-0.114,-0.178,0.107,-0.195,-0.126,0.083,-0.177,-0.085,0.354,0.358,-0.112,0.078,0.606,0.043,-0.194,-0.32,0.326,0.094,0.593,0.484,0.221,0.218,0.731,0.721,0.401,0.351,1.045,0.729,0.343,0.623,0.485,0.217,0.556,0.634,0.785,0.741,0.583,1.242,0.636,0.502,0.637,0.937,1.127,0.865,1.103,1.122,1.072,0.831,1.009,1.39,0.991,0.73,0.989,0.993,1.221,1.378,1.474,1.235,1.395,1.397,1.64,1.144,1.204,1.264,1.324,1.3840000000000001,1.4440000000000002,1.5040000000000002,1.5640000000000003,1.6240000000000003,1.6840000000000004,1.7440000000000004,1.8040000000000005,1.8640000000000005,1.9240000000000006,1.9840000000000007,2.0440000000000005,2.1040000000000005,2.1640000000000006,2.2240000000000006
77,Gibraltar,GIB,0.598,0.548,0.047,0.501,-0.058,0.248,-0.116,-0.003,-0.348,-0.088,-0.849,-0.917,-0.188,-0.431,-0.198,-0.481,-0.16,0.186,0.369,0.286,0.337,0.456,0.364,-0.175,0.569,0.201,0.473,0.766,0.916,1.217,0.135,0.19,-0.096,0.76,1.321,0.74,1.455,1.095,0.681,0.799,1.231,0.803,1.353,0.997,0.818,1.395,0.794,0.96,1.24,1.312,1.656,0.959,0.887,1.462,1.409,1.768,2.064,0.784,1.342,1.957,1.507,2.244,2.3040000000000003,2.3640000000000003,2.4240000000000004,2.4840000000000004,2.5440000000000005,2.6040000000000005,2.6640000000000006,2.7240000000000006,2.7840000000000007,2.8440000000000007,2.904000000000001,2.964000000000001,3.024000000000001,3.084000000000001,3.144000000000001,3.204000000000001,3.264000000000001,3.324000000000001
78,Greece,GRC,0.47,0.603,0.288,-0.32,-0.339,0.776,-0.206,0.181,-0.089,0.263,-0.225,-0.185,-0.353,-0.184,-0.246,-0.912,0.335,-0.551,0.183,-0.377,-0.186,-0.231,-0.481,-0.112,-0.05,0.324,-0.377,0.148,-0.19,0.373,-0.192,-0.52,-0.313,1.083,-0.022,-0.142,-0.172,0.659,0.832,0.704,1.348,0.486,0.435,0.386,0.243,0.286,1.096,0.881,0.761,1.574,0.387,1.22,1.309,1.037,0.87,1.545,0.604,1.851,1.309,1.238,1.587,1.012,1.072,1.1320000000000001,1.1920000000000002,1.2520000000000002,1.3120000000000003,1.3720000000000003,1.4320000000000004,1.4920000000000004,1.5520000000000005,1.6120000000000005,1.6720000000000006,1.7320000000000007,1.7920000000000007,1.8520000000000008,1.9120000000000008,1.9720000000000009,2.032000000000001,2.092000000000001
79,Greenland,GRL,-0.398,0.925,0.483,0.305,0.869,-0.168,-0.417,-0.276,-0.08,-0.284,-0.838,-1.083,-0.892,0.418,-1.092,-0.35,1.002,-0.677,0.665,1.062,-0.287,-0.616,-2.421,-1.923,0.974,0.513,-0.178,0.563,-1.676,-0.457,-0.319,-1.356,-1.521,-0.575,-0.431,0.618,0.418,1.242,0.411,0.9,0.852,1.071,2.363,1.473,1.9,1.678,1.41,0.866,0.829,3.231,1.622,1.548,1.413,1.653,0.129,2.363,1.159,0.916,2.125,1.102,2.176,1.423,1.483,1.5430000000000001,1.6030000000000002,1.6630000000000003,1.7230000000000003,1.7830000000000004,1.8430000000000004,1.9030000000000005,1.9630000000000005,2.0230000000000006,2.0830000000000006,2.1430000000000007,2.2030000000000007,2.263000000000001,2.323000000000001,2.383000000000001,2.443000000000001,2.503000000000001
80,Grenada,GRD,0.504,-0.298,0.361,-0.248,-0.28,-0.003,-0.25,-0.295,0.326,0.196,-0.519,-0.33,-0.058,-0.564,-0.55,-0.188,-0.109,-0.017,0.172,0.312,0.204,-0.18,0.187,-0.165,-0.753,-0.43,0.336,0.39,-0.241,0.159,0.321,0.31,0.371,0.331,0.611,0.334,0.488,1.164,0.554,0.522,0.666,0.502,0.862,0.328,1.153,0.636,0.564,0.417,0.356,1.149,0.62,0.472,0.824,0.664,0.817,0.77,1.173,0.566,1.085,1.285,0.838,0.595,0.655,0.7150000000000001,0.7750000000000001,0.8350000000000002,0.8950000000000002,0.9550000000000003,1.0150000000000003,1.0750000000000004,1.1350000000000005,1.1950000000000005,1.2550000000000006,1.3150000000000006,1.3750000000000007,1.4350000000000007,1.4950000000000008,1.5550000000000008,1.6150000000000009,1.675000000000001
81,Guadeloupe,GLP,0.061,-0.058,0.211,0.053,-0.38,0.141,-0.136,-0.254,0.309,0.209,-0.186,-0.074,0.308,-0.229,-0.255,-0.285,0.288,0.361,0.32,0.724,0.748,0.409,0.701,0.11,0.111,0.187,0.804,0.561,0.029,0.476,0.574,0.512,0.635,0.607,0.775,0.519,0.732,1.246,0.658,0.498,,0.698,0.976,0.608,1.005,0.749,0.887,0.3,0.521,1.295,0.581,0.685,0.702,0.709,1.003,1.173,0.925,0.787,0.879,1.179,0.878,0.787,0.847,0.907,0.9670000000000001,1.0270000000000001,1.0870000000000002,1.1470000000000002,1.2070000000000003,1.2670000000000003,1.3270000000000004,1.3870000000000005,1.4470000000000005,1.5070000000000006,1.5670000000000006,1.6270000000000007,1.6870000000000007,1.7470000000000008,1.8070000000000008,1.8670000000000009
82,Guatemala,GTM,-0.073,-0.163,-0.136,-0.081,-0.104,-0.103,-0.406,-0.366,0.388,-0.105,-0.111,0.477,0.512,-0.224,0.213,-0.324,0.308,0.24,0.464,0.57,0.109,0.561,0.729,0.172,0.228,0.17,0.418,0.54,0.231,0.394,0.688,0.521,0.433,0.682,0.698,0.198,0.787,0.967,0.659,0.416,0.461,0.689,1.096,0.754,0.889,0.682,0.66,0.204,0.732,0.69,0.451,0.555,0.66,0.631,1.172,1.459,1.086,0.885,1.389,1.675,1.397,0.944,1.004,1.064,1.124,1.1840000000000002,1.2440000000000002,1.3040000000000003,1.3640000000000003,1.4240000000000004,1.4840000000000004,1.5440000000000005,1.6040000000000005,1.6640000000000006,1.7240000000000006,1.7840000000000007,1.8440000000000007,1.9040000000000008,1.9640000000000009,2.024000000000001
83,"Guiana, French",GUF,-0.156,-0.124,-0.105,-0.111,-0.193,0.116,-0.212,-0.238,0.395,0.183,-0.372,-0.068,0.137,-0.366,-0.301,-0.108,0.109,0.117,0.331,0.321,0.31,0.271,0.622,-0.121,-0.016,0.148,0.71,0.49,0.046,0.346,0.525,0.611,0.665,0.626,0.947,0.667,0.78,1.498,0.77,0.652,0.64,0.704,0.988,0.968,1.426,0.826,0.904,0.839,1.204,1.426,1.0,0.952,1.098,1.128,1.35,1.758,1.482,1.223,1.54,1.65,1.341,1.2,1.26,1.32,1.3800000000000001,1.4400000000000002,1.5000000000000002,1.5600000000000003,1.6200000000000003,1.6800000000000004,1.7400000000000004,1.8000000000000005,1.8600000000000005,1.9200000000000006,1.9800000000000006,2.0400000000000005,2.1000000000000005,2.1600000000000006,2.2200000000000006,2.2800000000000007
84,Guinea,GIN,-0.159,-0.163,0.13,-0.206,-0.132,-0.018,-0.244,-0.179,0.446,0.349,-0.116,0.22,0.594,-0.065,-0.234,-0.241,0.224,0.218,0.526,0.653,0.368,0.245,0.665,0.4,0.426,0.108,0.83,0.627,0.157,0.678,0.715,0.372,0.737,0.506,0.531,0.83,0.771,1.16,0.493,0.673,0.793,1.109,0.985,1.033,1.197,1.129,0.997,1.128,0.96,1.369,1.149,0.603,1.177,1.006,1.318,1.319,1.657,1.4,1.561,1.58,1.894,1.492,1.552,1.612,1.6720000000000002,1.7320000000000002,1.7920000000000003,1.8520000000000003,1.9120000000000004,1.9720000000000004,2.0320000000000005,2.0920000000000005,2.1520000000000006,2.2120000000000006,2.2720000000000007,2.3320000000000007,2.392000000000001,2.452000000000001,2.512000000000001,2.572000000000001
85,Guinea-Bissau,GNB,-0.133,-0.072,0.164,-0.211,-0.362,-0.025,-0.255,-0.427,0.713,0.339,-0.057,0.267,0.583,-0.146,-0.188,-0.115,0.365,0.258,0.441,0.604,0.424,0.272,0.897,0.466,0.303,0.437,0.773,0.629,0.393,0.898,0.693,0.62,0.796,0.666,0.726,0.953,1.155,1.578,0.766,1.009,1.227,1.31,1.061,1.211,1.458,1.215,1.115,1.408,0.897,1.427,1.193,0.906,1.183,1.281,1.308,1.681,1.806,1.262,1.579,1.847,1.847,1.493,1.5530000000000002,1.6130000000000002,1.6730000000000003,1.7330000000000003,1.7930000000000004,1.8530000000000004,1.9130000000000005,1.9730000000000005,2.0330000000000004,2.0930000000000004,2.1530000000000005,2.2130000000000005,2.2730000000000006,2.3330000000000006,2.3930000000000007,2.4530000000000007,2.513000000000001,2.573000000000001
86,Guyana,GUY,0.092,-0.11,-0.038,0.364,-0.005,0.263,-0.114,-0.185,0.458,0.505,-0.513,-0.015,0.119,-0.466,-0.285,-0.471,0.031,-0.022,0.247,0.296,0.179,0.005,0.148,-0.729,-0.627,-0.29,0.247,0.165,-0.193,0.33,0.14,0.077,0.091,0.232,0.859,0.437,0.9,1.311,0.339,0.536,0.611,0.91,0.857,0.879,1.282,0.972,0.974,0.68,1.179,1.174,0.835,0.85,0.767,0.946,1.22,1.35,0.992,0.921,0.933,1.162,0.634,0.783,0.843,0.903,0.9630000000000001,1.0230000000000001,1.0830000000000002,1.1430000000000002,1.2030000000000003,1.2630000000000003,1.3230000000000004,1.3830000000000005,1.4430000000000005,1.5030000000000006,1.5630000000000006,1.6230000000000007,1.6830000000000007,1.7430000000000008,1.8030000000000008,1.8630000000000009
87,Haiti,HTI,-0.105,-0.082,-0.098,0.251,-0.264,0.143,-0.353,-0.368,0.023,-0.169,0.037,0.172,0.333,-0.289,0.34,-0.456,0.273,0.058,0.249,0.669,0.478,0.661,0.581,0.393,0.239,0.334,0.928,0.938,0.477,0.828,0.857,0.423,0.143,0.775,0.87,0.492,1.052,1.104,1.155,0.782,0.583,0.826,1.192,0.926,1.024,0.855,1.048,0.704,0.837,1.065,0.545,0.866,1.118,1.363,1.431,1.335,1.205,1.389,1.69,1.612,0.948,1.2,1.26,1.32,1.3800000000000001,1.4400000000000002,1.5000000000000002,1.5600000000000003,1.6200000000000003,1.6800000000000004,1.7400000000000004,1.8000000000000005,1.8600000000000005,1.9200000000000006,1.9800000000000006,2.0400000000000005,2.1000000000000005,2.1600000000000006,2.2200000000000006,2.2800000000000007
88,Holy See,VAT,0.719,0.091,-0.132,0.202,-0.416,0.26,0.159,0.039,-0.006,-0.161,-0.261,-0.193,0.007,-0.244,-0.177,-0.432,0.306,-0.6,0.092,-0.549,-0.476,0.553,0.195,-0.568,0.251,0.58,0.159,0.696,0.084,1.057,-0.104,0.408,0.355,1.356,0.096,0.288,0.784,0.883,0.74,1.153,1.467,0.692,1.476,0.456,0.398,0.587,1.323,0.976,1.01,0.747,1.019,1.463,0.84,1.373,1.541,1.62,1.37,1.944,1.645,1.691,1.524,2.006,2.066,2.126,2.186,2.246,2.306,2.366,2.426,2.486,2.5460000000000003,2.6060000000000003,2.6660000000000004,2.7260000000000004,2.7860000000000005,2.8460000000000005,2.9060000000000006,2.9660000000000006,3.0260000000000007,3.0860000000000007
89,Honduras,HND,-0.121,-0.21,-0.255,-0.035,-0.084,0.011,-0.307,-0.343,0.223,-0.131,-0.102,0.336,0.57,-0.276,0.122,-0.184,0.416,0.304,0.472,0.513,0.187,0.595,0.663,0.147,0.172,0.164,0.501,0.67,0.321,0.368,0.594,0.579,0.318,0.852,1.002,0.223,0.961,1.194,0.471,0.219,0.442,0.826,0.805,0.617,1.03,0.687,0.807,0.605,0.86,0.836,0.701,0.682,0.928,0.765,1.223,1.482,1.103,0.88,1.294,1.785,1.227,0.945,1.005,1.065,1.125,1.185,1.245,1.3050000000000002,1.3650000000000002,1.4250000000000003,1.4850000000000003,1.5450000000000004,1.6050000000000004,1.6650000000000005,1.7250000000000005,1.7850000000000006,1.8450000000000006,1.9050000000000007,1.9650000000000007,2.025000000000001
90,Hungary,HUN,1.172,-0.422,-0.464,-0.876,-0.883,0.757,0.6,0.386,-0.275,-0.506,-0.062,0.391,-0.03,0.267,0.871,-0.261,0.565,-0.855,0.064,-0.601,0.164,0.121,1.01,-0.133,-1.048,0.379,-0.522,0.41,0.888,1.096,-0.031,0.939,0.096,1.782,0.659,-0.312,-0.116,1.113,0.634,1.768,1.423,1.454,0.741,0.581,0.264,0.724,2.165,1.514,1.63,0.822,0.904,1.745,1.173,2.216,2.056,1.885,1.327,2.511,2.332,1.956,1.408,2.095,2.1550000000000002,2.2150000000000003,2.2750000000000004,2.3350000000000004,2.3950000000000005,2.4550000000000005,2.5150000000000006,2.5750000000000006,2.6350000000000007,2.6950000000000007,2.755000000000001,2.815000000000001,2.875000000000001,2.935000000000001,2.995000000000001,3.055000000000001,3.115000000000001,3.175000000000001
91,Iceland,ISL,0.546,-0.277,-0.097,1.083,-0.064,-0.408,-0.513,-0.557,-0.855,-0.605,0.023,0.731,-0.157,0.462,-0.499,0.279,-0.36,-0.046,-1.322,0.325,-0.986,-0.335,-0.933,0.135,0.09,-0.152,0.615,-0.159,-0.239,0.107,0.705,0.166,0.128,-0.207,-0.427,0.434,0.346,0.148,0.383,0.188,0.499,0.706,1.695,1.149,0.361,0.948,1.016,0.67,0.83,1.054,0.864,0.589,0.573,1.493,0.252,1.245,1.529,0.659,1.181,0.625,0.803,1.111,1.171,1.231,1.2910000000000001,1.3510000000000002,1.4110000000000003,1.4710000000000003,1.5310000000000004,1.5910000000000004,1.6510000000000005,1.7110000000000005,1.7710000000000006,1.8310000000000006,1.8910000000000007,1.9510000000000007,2.0110000000000006,2.0710000000000006,2.1310000000000007,2.1910000000000007
92,India,IND,-0.214,-0.526,-0.062,0.002,-0.053,0.308,-0.213,-0.224,0.323,0.061,-0.485,0.019,0.346,0.033,-0.299,0.01,0.162,-0.161,0.299,0.391,0.068,-0.021,-0.165,-0.15,0.179,0.163,0.564,0.479,-0.029,-0.098,0.179,0.017,0.211,0.1,0.224,0.319,-0.092,0.588,0.467,0.356,0.479,0.831,0.689,0.57,0.606,0.685,0.636,0.303,1.176,1.159,0.364,0.487,0.445,0.536,0.705,1.077,0.962,0.881,0.813,0.529,0.734,0.784,0.8440000000000001,0.9040000000000001,0.9640000000000002,1.0240000000000002,1.0840000000000003,1.1440000000000003,1.2040000000000004,1.2640000000000005,1.3240000000000005,1.3840000000000006,1.4440000000000006,1.5040000000000007,1.5640000000000007,1.6240000000000008,1.6840000000000008,1.7440000000000009,1.804000000000001,1.864000000000001
93,Indonesia,IDN,-0.069,0.013,-0.085,0.015,-0.188,0.04,-0.159,-0.017,0.169,0.128,-0.196,-0.1,0.235,-0.148,-0.146,-0.011,0.093,0.063,0.152,0.193,0.102,-0.025,0.355,-0.217,0.046,0.017,0.411,0.33,0.033,0.059,0.224,0.225,0.246,0.347,0.372,0.4,0.405,0.992,0.26,0.265,0.515,0.599,0.599,0.546,0.706,0.401,0.448,0.252,0.562,0.768,0.288,0.42,0.773,0.759,0.755,1.386,0.932,0.846,1.026,1.192,0.992,0.957,1.017,1.077,1.137,1.197,1.2570000000000001,1.3170000000000002,1.3770000000000002,1.4370000000000003,1.4970000000000003,1.5570000000000004,1.6170000000000004,1.6770000000000005,1.7370000000000005,1.7970000000000006,1.8570000000000007,1.9170000000000007,1.9770000000000008,2.037000000000001
94,"Iran, Islamic Rep. of",IRN,-0.073,0.253,0.709,-0.702,-0.289,0.755,-0.244,-0.212,-0.311,1.0,0.118,-0.925,-0.174,-0.651,-0.194,-0.527,0.414,0.284,0.69,0.541,0.675,-0.12,-0.101,0.136,0.235,0.206,0.523,0.694,0.218,0.731,0.369,-0.775,-0.032,0.797,0.699,0.245,0.662,1.183,1.687,1.243,1.546,1.685,0.957,1.561,0.848,1.878,0.904,1.144,1.225,2.252,1.38,1.125,1.652,1.094,1.88,1.685,1.758,2.065,1.589,1.335,2.161,2.366,2.426,2.486,2.5460000000000003,2.6060000000000003,2.6660000000000004,2.7260000000000004,2.7860000000000005,2.8460000000000005,2.9060000000000006,2.9660000000000006,3.0260000000000007,3.0860000000000007,3.146000000000001,3.206000000000001,3.266000000000001,3.326000000000001,3.386000000000001,3.446000000000001
95,Iraq,IRQ,-0.19,0.887,0.442,-0.799,-0.122,0.979,-0.828,-0.259,0.26,0.671,-0.168,-0.726,-0.212,-0.421,-0.244,-0.787,0.291,0.127,1.232,0.03,0.27,-0.387,-0.776,0.066,0.081,0.435,0.411,0.143,0.218,0.404,0.628,-1.161,-0.46,1.006,0.364,0.807,0.291,1.267,1.897,0.986,1.268,1.147,0.938,1.072,0.524,1.618,0.941,1.161,0.876,2.681,0.835,1.272,1.261,1.162,1.918,1.653,1.558,2.394,1.619,1.854,2.661,2.169,2.229,2.289,2.349,2.4090000000000003,2.4690000000000003,2.5290000000000004,2.5890000000000004,2.6490000000000005,2.7090000000000005,2.7690000000000006,2.8290000000000006,2.8890000000000007,2.9490000000000007,3.009000000000001,3.069000000000001,3.129000000000001,3.189000000000001,3.249000000000001
96,Ireland,IRL,0.268,-0.687,-0.773,0.157,-0.555,-0.042,-0.018,0.055,-0.287,0.038,0.321,-0.289,0.34,-0.231,0.68,0.54,-0.305,0.233,-0.714,-0.084,0.35,0.126,0.378,0.314,-0.458,-0.745,-0.163,0.226,1.025,0.802,0.176,0.425,0.041,0.258,1.175,-0.03,0.95,0.91,1.049,0.548,0.522,0.802,0.995,0.865,1.147,1.135,1.326,0.818,0.785,-0.127,0.536,0.683,0.565,1.368,0.447,1.034,1.254,0.769,1.182,1.05,0.989,1.726,1.786,1.846,1.9060000000000001,1.9660000000000002,2.0260000000000002,2.0860000000000003,2.1460000000000004,2.2060000000000004,2.2660000000000005,2.3260000000000005,2.3860000000000006,2.4460000000000006,2.5060000000000007,2.5660000000000007,2.626000000000001,2.686000000000001,2.746000000000001,2.806000000000001
