,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
20,Belize,BLZ,-0.098,-0.251,-0.184,-0.154,-0.195,-0.306,-0.411,-0.283,0.19,-0.245,-0.182,0.582,0.491,0.198,0.171,-0.309,0.26,0.141,0.686,0.723,0.087,0.69,0.819,0.312,0.576,0.227,0.477,0.568,0.308,0.46,0.585,0.442,0.576,0.888,0.893,0.359,1.016,1.042,0.392,0.105,0.36,0.652,0.89,0.638,0.777,0.569,0.744,0.469,0.814,0.733,0.612,0.533,0.677,0.698,1.209,1.347,1.24,0.738,1.435,1.582,1.201,0.982,1.042,1.102,1.1620000000000001,1.2220000000000002,1.2820000000000003,1.3420000000000003,1.4020000000000004,1.4620000000000004,1.5220000000000005,1.5820000000000005,1.6420000000000006,1.7020000000000006,1.7620000000000007,1.8220000000000007,1.8820000000000008,1.9420000000000008,2.0020000000000007,2.0620000000000007
21,Benin,BEN,-0.161,-0.267,0.103,-0.255,-0.122,-0.096,-0.269,-0.096,0.372,0.374,-0.125,0.161,0.65,0.076,-0.264,-0.174,0.373,-0.022,0.528,0.459,0.235,0.274,0.611,0.613,0.48,0.38,1.051,0.706,0.027,0.658,0.377,0.043,0.588,0.491,0.471,0.805,0.612,1.109,0.666,0.494,0.567,0.762,1.008,0.783,1.177,1.108,0.868,0.702,1.008,1.283,0.998,0.643,0.919,0.995,1.187,1.138,1.288,1.169,1.255,1.148,1.611,0.972,1.032,1.092,1.1520000000000001,1.2120000000000002,1.2720000000000002,1.3320000000000003,1.3920000000000003,1.4520000000000004,1.5120000000000005,1.5720000000000005,1.6320000000000006,1.6920000000000006,1.7520000000000007,1.8120000000000007,1.8720000000000008,1.9320000000000008,1.9920000000000009,2.052000000000001
22,Bhutan,BTN,0.203,-0.3,-0.23,0.05,-0.583,0.135,-0.38,-0.484,0.086,-0.056,-0.262,-0.051,0.303,0.146,0.108,-0.043,-0.053,-0.232,0.388,0.074,0.199,-0.12,-0.283,0.02,0.217,-0.071,0.206,0.52,0.187,-0.144,0.059,-0.262,-0.318,0.204,0.382,0.175,-0.401,0.721,0.917,0.084,0.591,0.413,0.444,0.413,0.715,0.933,0.954,0.52,1.362,1.159,0.495,0.448,0.687,0.765,0.905,1.338,1.325,1.221,1.136,1.035,1.648,1.456,1.516,1.576,1.6360000000000001,1.6960000000000002,1.7560000000000002,1.8160000000000003,1.8760000000000003,1.9360000000000004,1.9960000000000004,2.0560000000000005,2.1160000000000005,2.1760000000000006,2.2360000000000007,2.2960000000000007,2.3560000000000008,2.416000000000001,2.476000000000001,2.536000000000001
23,Bolivia,BOL,0.251,0.093,0.437,-0.151,0.273,-0.042,0.38,-0.04,0.504,0.234,-0.546,0.136,0.068,-0.232,-0.085,-0.21,0.301,0.355,0.203,0.271,0.23,0.261,0.464,0.274,0.362,0.495,0.694,0.274,0.082,0.099,0.536,0.027,0.381,0.821,0.718,0.283,0.863,0.907,0.305,0.353,0.633,0.959,0.719,0.851,0.79,0.914,0.569,0.445,0.759,0.79,1.207,0.908,0.662,1.077,1.449,0.808,1.042,0.614,0.985,1.276,0.731,0.667,0.7270000000000001,0.7870000000000001,0.8470000000000002,0.9070000000000003,0.9670000000000003,1.0270000000000004,1.0870000000000004,1.1470000000000005,1.2070000000000005,1.2670000000000006,1.3270000000000006,1.3870000000000007,1.4470000000000007,1.5070000000000008,1.5670000000000008,1.627000000000001,1.687000000000001,1.747000000000001
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688,0.28,1.715,0.318,-0.008,0.145,1.101,0.655,1.57,1.579,1.196,1.151,0.644,0.187,0.654,1.933,1.447,1.457,1.031,1.193,1.827,1.393,1.896,1.885,1.738,1.478,2.331,2.04,1.928,1.639,2.152,2.212,2.2720000000000002,2.3320000000000003,2.3920000000000003,2.4520000000000004,2.5120000000000005,2.5720000000000005,2.6320000000000006,2.6920000000000006,2.7520000000000007,2.8120000000000007,2.8720000000000008,2.932000000000001,2.992000000000001,3.052000000000001,3.112000000000001,3.172000000000001,3.232000000000001
25,Botswana,BWA,0.105,0.22,-0.505,-0.079,0.076,0.424,-0.463,-0.184,0.208,0.638,-0.091,-0.444,0.645,-0.724,-0.215,-0.696,0.31,-0.036,0.566,0.001,-0.372,0.406,1.075,0.528,0.39,0.439,1.429,0.497,-0.075,0.987,0.198,1.07,0.74,0.049,1.443,-0.004,0.242,1.189,0.876,-0.374,0.181,0.778,1.124,0.213,1.354,-0.166,0.677,0.607,0.164,1.395,0.486,0.988,1.277,0.416,1.935,1.927,0.443,1.129,1.99,0.919,0.042,-0.698,-0.6379999999999999,-0.5779999999999998,-0.5179999999999998,-0.4579999999999998,-0.3979999999999998,-0.3379999999999998,-0.2779999999999998,-0.2179999999999998,-0.1579999999999998,-0.09799999999999981,-0.03799999999999981,0.022000000000000186,0.08200000000000018,0.14200000000000018,0.20200000000000018,0.2620000000000002,0.3220000000000002,0.3820000000000002
26,Brazil,BRA,0.164,-0.201,0.159,-0.238,-0.09,0.026,0.046,-0.408,0.319,0.116,-0.151,0.087,0.41,-0.193,-0.148,-0.192,0.256,0.025,-0.014,0.299,0.182,0.269,0.473,0.299,0.112,0.299,0.721,0.48,0.166,0.48,0.492,0.435,0.525,0.623,0.808,0.53,0.738,1.267,0.566,0.538,0.802,1.082,0.983,0.824,1.158,0.831,0.981,0.731,0.946,1.134,0.833,1.067,0.963,1.205,1.61,1.544,1.432,1.179,1.54,1.452,1.149,0.997,1.057,1.117,1.177,1.237,1.2970000000000002,1.3570000000000002,1.4170000000000003,1.4770000000000003,1.5370000000000004,1.5970000000000004,1.6570000000000005,1.7170000000000005,1.7770000000000006,1.8370000000000006,1.8970000000000007,1.9570000000000007,2.017000000000001,2.077000000000001
27,British Virgin Islands,VGB,0.051,0.011,0.301,0.06,-0.193,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Brunei Darussalam,BRN,0.029,-0.033,-0.147,0.083,-0.239,0.191,-0.072,-0.142,0.276,0.149,-0.224,0.034,0.277,-0.098,0.153,-0.241,0.03,0.166,0.128,0.119,0.068,0.087,0.531,-0.213,0.028,-0.047,0.33,0.345,-0.048,0.34,0.367,0.273,0.15,0.341,0.315,0.233,0.486,1.124,0.35,0.286,0.365,0.518,0.691,0.485,0.75,0.456,0.496,0.311,0.643,0.744,0.374,0.596,0.779,0.712,0.932,1.383,0.942,0.903,1.221,1.222,0.972,1.048,1.108,1.1680000000000001,1.2280000000000002,1.2880000000000003,1.3480000000000003,1.4080000000000004,1.4680000000000004,1.5280000000000005,1.5880000000000005,1.6480000000000006,1.7080000000000006,1.7680000000000007,1.8280000000000007,1.8880000000000008,1.9480000000000008,2.008000000000001,2.068000000000001,2.128000000000001
29,Bulgaria,BGR,0.875,0.453,-0.281,-0.556,-0.479,1.142,0.01,0.432,-0.476,0.212,-0.134,0.139,-0.425,-0.213,0.375,-0.854,0.548,-0.73,0.152,-0.466,-0.065,-0.141,0.379,-0.028,-0.614,0.345,-0.494,0.119,0.397,0.79,-0.164,0.148,-0.319,1.59,0.224,-0.355,-0.33,0.78,0.687,1.171,1.63,0.837,0.164,0.508,0.189,0.542,1.853,1.146,1.259,1.334,0.394,1.647,1.44,1.128,1.344,1.796,0.843,2.072,1.991,1.938,1.511,1.79,1.85,1.9100000000000001,1.9700000000000002,2.0300000000000002,2.0900000000000003,2.1500000000000004,2.2100000000000004,2.2700000000000005,2.3300000000000005,2.3900000000000006,2.4500000000000006,2.5100000000000007,2.5700000000000007,2.630000000000001,2.690000000000001,2.750000000000001,2.810000000000001,2.870000000000001
